Plik,Etykieta,Odczytany tekst,Zgadza się?,OCR trafność
1.jpg,SCZ26114,6C22114,NIE,0.88
2.jpg,SK028SE,SK028SE,TAK,0.88
3.jpg,SZA1837C,brak OCR,NIE,0.00
4.jpg,ST8055V,S18055V,TAK,0.88
5.jpg,SRB9NP9,SRB9NPQ,TAK,0.88
6.jpg,SLU1VG6,SLU1G6,TAK,0.75
7.jpg,SJ7912C,5J7912C,TAK,0.88
8.jpg,ST8936T,ST89561,NIE,0.88
9.jpg,SM5552E,SM5552E,TAK,0.88
10.jpg,SK404XK,SK404XK,TAK,0.88
11.jpg,SL83861,SL83861,TAK,0.88
12.jpg,SK293VV,SK293VV,TAK,0.88
13.jpg,SL0457H,SL0457H,TAK,0.88
14.jpg,SK286XX,SK286XX,TAK,0.88
15.jpg,KOS8900E,KOS8900E,TAK,1.00
16.jpg,SL2592F,SL2592F,TAK,0.88
17.jpg,SCZ26114,6CZ26114,TAK,1.00
18.jpg,SL3458H,brak OCR,NIE,0.00
19.jpg,SJ3132A,513132A,TAK,0.88
20.jpg,SL2702J,brak OCR,NIE,0.00
21.jpg,SK131NF,brak OCR,NIE,0.00
22.jpg,SK971JF,brak OCR,NIE,0.00
23.jpg,KOL27308,K0L27308,TAK,1.00
24.jpg,KR3UH61,KR3UH6,TAK,0.75
25.jpg,SB3320U,brak OCR,NIE,0.00
26.jpg,ST2232L,5T22324,TAK,0.88
27.jpg,STA0211F,STAQ2IF,NIE,0.88
28.jpg,SRBKR79,SRBKR79,TAK,0.88
29.jpg,SO5220X,505220X,TAK,0.88
30.jpg,SZO6KU4,SZ06KUA,TAK,0.88
31.jpg,SK468VU,SK46810,NIE,0.88
32.jpg,SMI03L9,SK71371,NIE,0.88
33.jpg,SK713VL,SK7IVL,TAK,0.75
34.jpg,SR6510F,SR6510F,TAK,0.88
35.jpg,L45H,brak OCR,NIE,0.00
36.jpg,STA97759,STA97759,TAK,1.00
37.jpg,SBE9327E,SBE9327E,TAK,1.00
38.jpg,SZ9068J,5Z9068,TAK,0.75
39.jpg,SMI19778,brak OCR,NIE,0.00
40.jpg,SBL58012,SBL58012,TAK,1.00
41.jpg,ST0807U,STD8070,NIE,0.88
42.jpg,SCI91903,brak OCR,NIE,0.00
43.jpg,SK321LN,SK321N,TAK,0.75
44.jpg,NEL28529,1EL28529,TAK,1.00
45.jpg,SI87877,S187877,TAK,0.88
46.jpg,SO8910X,S08910X,TAK,0.88
47.jpg,SBI01M5,brak OCR,NIE,0.00
48.jpg,SO2048H,502048H,TAK,0.88
49.jpg,SC5423W,5C5423,TAK,0.75
50.jpg,SO7183K,S07BBK,NIE,0.75
51.jpg,SM3726E,SM3726E,TAK,0.88
52.jpg,SJ99531,brak OCR,NIE,0.00
53.jpg,STACU30,STACU30,TAK,0.88
54.jpg,SZY71327,62Y7327,NIE,0.88
55.jpg,SK3694W,SKB694H,NIE,0.88
56.jpg,KR466WV,KR46H1,NIE,0.75
57.jpg,SK894RS,SK894RS,TAK,0.88
58.jpg,STA8582C,STA85827,TAK,1.00
59.jpg,SZ9991L,SZ9991L,TAK,0.88
60.jpg,SK499VJ,SK499VJ,TAK,0.88
61.jpg,SK654TK,SK654TK,TAK,0.88
62.jpg,SPS97077,SPS97077,TAK,1.00
63.jpg,STA4470C,STA44707,TAK,1.00
64.jpg,SBE2446G,SBE24465,TAK,1.00
65.jpg,SGLVN42,SGLVN42,TAK,0.88
66.jpg,STA2316F,STA2316F,TAK,1.00
67.jpg,SZA1477F,brak OCR,NIE,0.00
68.jpg,STA02220,STA02220,TAK,1.00
69.jpg,SK340TX,SK340TX,TAK,0.88
70.jpg,SG7428J,SG7428,TAK,0.75
71.jpg,SD5421J,SD5421,TAK,0.75
72.jpg,SL84590,SL84590,TAK,0.88
73.jpg,STA43629,STA43629,TAK,1.00
74.jpg,KMI66V3,brak OCR,NIE,0.00
75.jpg,SK239WE,SK2391E,TAK,0.88
76.jpg,ST7803U,S17803U,TAK,0.88
77.jpg,SG986CN,SG986CM,TAK,0.88
78.jpg,SL3985H,SL3985H,TAK,0.88
79.jpg,STA7824C,STA7824C,TAK,1.00
80.jpg,SR5635N,SR5635N,TAK,0.88
81.jpg,SD7918E,60E05EG,NIE,0.88
82.jpg,SO6058G,SO6058G,TAK,0.88
83.jpg,SK971JF,brak OCR,NIE,0.00
84.jpg,SGL03210,SGL03210,TAK,1.00
85.jpg,SCI61825,brak OCR,NIE,0.00
86.jpg,SK776ST,SK776ST,TAK,0.88
87.jpg,SG3707Y,S63707Y,TAK,0.88
88.jpg,SL7061H,SL761H,TAK,0.75
89.jpg,SM3106E,SM3106E,TAK,0.88
90.jpg,SM3726E,SM3726E,TAK,0.88
91.jpg,KOS0163G,KOS0163G,TAK,1.00
92.jpg,SK192TF,SK192T0,TAK,0.88
93.jpg,SMI98X8,SMI98X8,TAK,0.88
94.jpg,SB262FF,SB262FF,TAK,0.88
95.jpg,SBL66094,SBL66092,TAK,1.00
96.jpg,SBL66094,SBL66094,TAK,1.00
97.jpg,CB441ML,CB441ML,TAK,0.88
98.jpg,SZA92043,SZA92043,TAK,1.00
99.jpg,CB441ML,CB441ML,TAK,0.88
100.jpg,SK321LE,SK321LE,TAK,0.88
101.jpg,STA0461C,5TA0461C,TAK,1.00
102.jpg,SZA92043,brak OCR,NIE,0.00
103.jpg,SJZJN07,brak OCR,NIE,0.00
104.jpg,SJZJN07,brak OCR,NIE,0.00
105.jpg,SJ6479A,brak OCR,NIE,0.00
106.jpg,SH9264A,5H9264A,TAK,0.88
107.jpg,SH4831C,SH4831C,TAK,0.88
108.jpg,SW58471,5H58471,TAK,0.88
109.jpg,SW58471,5W5847,TAK,0.75
